SMILES,Name,perm(cm/s),loss,DOI
CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,fluorometholone,170.0,0.0,10.1002/jps.2600670614
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,flurbiprofen,210.0,0.0,10.1002/jps.2600830120
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)N,Flurbiprofen amide,220.0,0.0,10.1002/jps.2600830120
C(C(CO)O)O,glycerol,45.0,0.0,10.1002/jps.2600770103
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,hydrocortisone,85.0,0.0,10.1002/jps.2600670614
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,ibuprofen,220.0,0.0,10.2165/00003088-199018040-00001
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,indomethacin,690.0,0.0,10.1016/S0168-3659(96)01503-9
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)COC4(C(C(C(O4)CO)O)O)COC5(C(C(C(O5)CO)O)O)COC6(C(C(C(O6)CO)O)O)COC7(C(C(C(O7)CO)O)O)COC8(C(C(C(O8)CO)O)O)COC9(C(C(C(O9)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)CO)O)O)O)O,inulin,5.5,0.0,10.1002/jps.2600760802
CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,labetalol,140.0,0.0,10.3109/02713689109001766
CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O,levobunolol,290.0,0.0,10.1002/jps.2600830120
